,Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek,UserName,DB
135,2016-02-20,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday,AkshayaAdabar,DB09 
136,2016-02-21,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday,AkshayaAdabar,DB09 
137,2016-02-22,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkshayaAdabar,DB09 
138,2016-02-23,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkshayaAdabar,DB09 
139,2016-02-24,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkshayaAdabar,DB09 
140,2016-02-25,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday,AkshayaAdabar,DB09 
141,2016-02-26,13,533,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040515,Friday,AkshayaAdabar,DB09 
142,2016-02-27,18,533,0.06,0.01,0.0,18 to 19,0.0025,0.004423258684646914,Saturday,AkshayaAdabar,DB09 
143,2016-02-28,17,533,0.12,0.06,0.0,22 to 23,0.005,0.012510864843424485,Sunday,AkshayaAdabar,DB09 
144,2016-02-29,14,533,0.1,0.01,0.0,00 to 01,0.004166666666666668,0.00503610155185335,Monday,AkshayaAdabar,DB09 
145,2016-01-03,20,533,0.04,0.01,0.0,03 to 04,0.0016666666666666668,0.003806934938134405,Sunday,AkshayaAdabar,DB09 
146,2016-02-03,18,533,0.06,0.01,0.0,03 to 04,0.0025,0.004423258684646914,Wednesday,AkshayaAdabar,DB09 
147,2016-03-03,19,533,0.05,0.01,0.0,03 to 04,0.0020833333333333333,0.004148511169990534,Thursday,AkshayaAdabar,DB09 
148,2016-04-03,16,533,0.08,0.01,0.0,04 to 05,0.0033333333333333327,0.004815434123430768,Sunday,AkshayaAdabar,DB09 
149,2016-05-03,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkshayaAdabar,DB09 
150,2016-06-03,14,533,0.1,0.01,0.0,00 to 01,0.004166666666666668,0.00503610155185335,Friday,AkshayaAdabar,DB09 
151,2016-07-03,17,533,0.07,0.01,0.0,03 to 04,0.0029166666666666672,0.0046430562148753645,Sunday,AkshayaAdabar,DB09 
152,2016-08-03,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkshayaAdabar,DB09 
153,2016-09-03,14,533,0.1,0.01,0.0,00 to 01,0.004166666666666668,0.00503610155185335,Saturday,AkshayaAdabar,DB09 
154,2016-10-03,16,533,0.08,0.01,0.0,01 to 02,0.0033333333333333327,0.004815434123430768,Monday,AkshayaAdabar,DB09 
155,2016-11-03,13,533,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday,AkshayaAdabar,DB09 
