,DB,Date,UnitsConsumed
447,DB02 ,4/15/2016,1.86
448,DB02 ,4/16/2016,1.92
449,DB02 ,4/17/2016,2.12
450,DB02 ,4/18/2016,1.75
451,DB02 ,4/19/2016,0.54
452,DB02 ,4/25/2016,1.37
453,DB02 ,4/26/2016,1.63
454,DB02 ,4/27/2016,0.72
455,DB02 ,4/28/2016,1.45
456,DB02 ,4/29/2016,1.84
457,DB02 ,4/30/2016,2.05
458,DB02 ,5/2/2016,1.51
459,DB02 ,5/3/2016,0.96
460,DB02 ,5/4/2016,1.95
461,DB02 ,5/5/2016,2.38
462,DB02 ,5/12/2016,0.27
463,DB02 ,5/13/2016,1.22
464,DB02 ,5/14/2016,1.5
465,DB02 ,5/15/2016,1.98
466,DB02 ,5/16/2016,1.78
467,DB02 ,5/17/2016,1.95
468,DB02 ,5/18/2016,2.09
469,DB02 ,5/19/2016,1.89
470,DB02 ,5/20/2016,1.03
471,DB02 ,5/21/2016,1.54
472,DB02 ,5/22/2016,2.36
473,DB02 ,5/23/2016,2.51
474,DB02 ,5/24/2016,1.99
475,DB02 ,5/25/2016,0.99
476,DB02 ,5/27/2016,0.76
477,DB02 ,5/28/2016,2.19
478,DB02 ,5/29/2016,1.71
479,DB02 ,5/30/2016,1.04
480,DB02 ,5/31/2016,0.17
481,DB02 ,6/2/2016,1.51
482,DB02 ,6/3/2016,1.05
483,DB02 ,6/4/2016,1.77
484,DB02 ,6/5/2016,2.31
485,DB02 ,7/2/2016,0.45
486,DB02 ,7/3/2016,1.05
487,DB02 ,7/4/2016,1.89
488,DB02 ,7/5/2016,2.31
489,DB02 ,7/11/2016,1.08
490,DB02 ,7/12/2016,1.27
491,DB02 ,8/3/2016,1.29
492,DB02 ,8/4/2016,1.82
493,DB02 ,8/5/2016,1.94
494,DB02 ,8/11/2016,1.57
495,DB02 ,8/12/2016,0.09
496,DB02 ,9/3/2016,1.44
497,DB02 ,9/4/2016,1.79
498,DB02 ,9/5/2016,2.23
499,DB02 ,9/11/2016,0.32
500,DB02 ,9/12/2016,1.13
501,DB02 ,10/3/2016,1.54
502,DB02 ,10/4/2016,1.75
503,DB02 ,10/5/2016,1.82
504,DB02 ,10/12/2016,0.25
505,DB02 ,11/2/2016,0.86
506,DB02 ,11/3/2016,1.34
507,DB02 ,11/4/2016,1.78
508,DB02 ,11/5/2016,1.18
509,DB02 ,11/14/2016,1.51
510,DB02 ,11/15/2016,1.62
511,DB02 ,11/16/2016,1.65
512,DB02 ,11/17/2016,1.78
513,DB02 ,11/18/2016,1.64
514,DB02 ,11/19/2016,1.27
515,DB02 ,11/20/2016,1.22
516,DB02 ,11/21/2016,0.9
517,DB02 ,11/22/2016,1.01
518,DB02 ,11/30/2016,1.88
519,DB02 ,12/2/2016,1.13
520,DB02 ,12/3/2016,0.52
521,DB02 ,12/4/2016,0.98
522,DB02 ,12/5/2016,0.46
523,DB02 ,12/13/2016,1.27
524,DB02 ,12/14/2016,1.28
525,DB02 ,12/15/2016,0.34
526,DB02 ,1/2/2017,1.32
527,DB02 ,1/3/2017,1.23
528,DB02 ,1/4/2017,1.5
529,DB02 ,1/5/2017,1.44
530,DB02 ,1/6/2017,1.88
531,DB02 ,1/7/2017,0.39
532,DB02 ,1/9/2017,0.62
533,DB02 ,1/10/2017,1.3
534,DB02 ,1/11/2017,0.02
535,DB02 ,1/13/2017,1.5
536,DB02 ,1/14/2017,1.3
537,DB02 ,1/15/2017,1.42
538,DB02 ,1/16/2017,1.3
539,DB02 ,1/17/2017,1.38
540,DB02 ,1/18/2017,0.29
541,DB02 ,1/19/2017,0.5
542,DB02 ,1/20/2017,1.52
543,DB02 ,1/21/2017,1.49
544,DB02 ,1/22/2017,1.19
545,DB02 ,1/23/2017,1.36
546,DB02 ,1/24/2017,1.38
547,DB02 ,1/25/2017,1.21
548,DB02 ,1/26/2017,1.1
549,DB02 ,1/27/2017,1.06
550,DB02 ,1/28/2017,1.01
551,DB02 ,1/29/2017,0.91
552,DB02 ,1/30/2017,1.03
553,DB02 ,1/31/2017,1.08
554,DB02 ,2/2/2017,1.45
555,DB02 ,2/3/2017,1.41
556,DB02 ,2/4/2017,1.24
557,DB02 ,2/5/2017,1.57
558,DB02 ,2/6/2017,1.82
559,DB02 ,2/7/2017,0.32
560,DB02 ,2/8/2017,0.68
561,DB02 ,2/9/2017,0.94
562,DB02 ,2/10/2017,1.15
563,DB02 ,2/11/2017,0.12
564,DB02 ,2/13/2017,0.9
565,DB02 ,2/20/2017,0.9
566,DB02 ,2/21/2017,1.32
567,DB02 ,2/22/2017,1.13
568,DB02 ,2/23/2017,1.02
569,DB02 ,2/24/2017,1.13
570,DB02 ,2/25/2017,0.98
571,DB02 ,2/26/2017,1.1
572,DB02 ,2/27/2017,1.19
573,DB02 ,2/28/2017,1.23
574,DB02 ,3/2/2017,1.17
575,DB02 ,3/3/2017,1.24
576,DB02 ,3/4/2017,1.24
577,DB02 ,3/5/2017,1.28
578,DB02 ,3/6/2017,0.68
579,DB02 ,3/8/2017,1.43
580,DB02 ,3/9/2017,1.39
581,DB02 ,3/10/2017,1.28
582,DB02 ,3/11/2017,0.27
583,DB02 ,3/13/2017,0.7
584,DB02 ,3/14/2017,0.65
585,DB02 ,3/15/2017,0.97
586,DB02 ,3/16/2017,0.99
587,DB02 ,3/17/2017,1.12
588,DB02 ,3/18/2017,1.38
589,DB02 ,3/19/2017,1.14
590,DB02 ,3/20/2017,1.04
591,DB02 ,3/21/2017,0.52
592,DB02 ,3/22/2017,0.52
593,DB02 ,3/23/2017,0.79
594,DB02 ,3/24/2017,1.06
595,DB02 ,3/25/2017,1.29
596,DB02 ,3/26/2017,1.54
597,DB02 ,3/28/2017,1.55
598,DB02 ,3/29/2017,1.5
599,DB02 ,3/30/2017,1.48
600,DB02 ,3/31/2017,1.58
601,DB02 ,4/2/2017,1.2
602,DB02 ,4/3/2017,1.24
603,DB02 ,4/4/2017,0.96
604,DB02 ,4/5/2017,1.03
605,DB02 ,4/6/2017,1.02
606,DB02 ,4/7/2017,0.98
607,DB02 ,4/8/2017,0.42
608,DB02 ,4/9/2017,1.78
609,DB02 ,4/10/2017,1.27
610,DB02 ,4/13/2017,0.89
611,DB02 ,4/14/2017,1.75
612,DB02 ,4/15/2017,1.59
613,DB02 ,4/16/2017,1.21
614,DB02 ,4/17/2017,1.42
615,DB02 ,4/18/2017,1.93
616,DB02 ,4/19/2017,1.69
617,DB02 ,4/20/2017,1.59
618,DB02 ,4/21/2017,1.44
619,DB02 ,4/22/2017,1.43
620,DB02 ,4/23/2017,1.06
621,DB02 ,4/24/2017,0.84
622,DB02 ,4/25/2017,0.67
623,DB02 ,4/26/2017,0.94
624,DB02 ,4/27/2017,0.76
625,DB02 ,4/28/2017,1.81
626,DB02 ,4/29/2017,1.19
627,DB02 ,4/30/2017,1.1
628,DB02 ,5/2/2017,1.25
629,DB02 ,5/3/2017,1.34
630,DB02 ,5/4/2017,1
631,DB02 ,5/5/2017,1.06
632,DB02 ,5/6/2017,0.69
633,DB02 ,5/7/2017,0.62
634,DB02 ,5/8/2017,0.77
635,DB02 ,5/9/2017,1.97
636,DB02 ,5/10/2017,1.3
637,DB02 ,5/13/2017,1.48
638,DB02 ,5/14/2017,0.61
639,DB02 ,5/15/2017,1.04
640,DB02 ,5/16/2017,1.51
641,DB02 ,5/17/2017,1.23
642,DB02 ,5/18/2017,0.99
643,DB02 ,5/19/2017,1.23
644,DB02 ,5/20/2017,1.95
645,DB02 ,5/21/2017,1.73
646,DB02 ,5/22/2017,1.06
647,DB02 ,5/23/2017,1.74
648,DB02 ,5/24/2017,1.1
649,DB02 ,5/25/2017,1.78
650,DB02 ,5/26/2017,1.89
651,DB02 ,5/27/2017,1.88
652,DB02 ,5/28/2017,1.34
653,DB02 ,5/29/2017,1.53
654,DB02 ,5/30/2017,1.4
655,DB02 ,5/31/2017,1.81
656,DB02 ,6/1/2017,0.42
657,DB02 ,6/2/2017,1.43
658,DB02 ,6/3/2017,1.51
659,DB02 ,6/4/2017,1.23
660,DB02 ,6/5/2017,1.66
661,DB02 ,6/6/2017,0.6
662,DB02 ,6/7/2017,0.98
663,DB02 ,6/9/2017,0.97
664,DB02 ,6/10/2017,1.23
665,DB02 ,6/13/2017,1.58
666,DB02 ,6/14/2017,1.24
667,DB02 ,6/15/2017,1.41
668,DB02 ,6/16/2017,1.22
669,DB02 ,6/17/2017,0.66
670,DB02 ,6/18/2017,0.87
671,DB02 ,6/28/2017,0.63
672,DB02 ,6/29/2017,0.76
673,DB02 ,6/30/2017,1.01
674,DB02 ,7/1/2017,0.66
675,DB02 ,7/2/2017,1.27
676,DB02 ,7/3/2017,1.19
677,DB02 ,7/4/2017,1.4
678,DB02 ,7/5/2017,1.53
679,DB02 ,7/6/2017,0.96
680,DB02 ,7/7/2017,0.69
681,DB02 ,7/9/2017,1.98
682,DB02 ,7/10/2017,1.18
683,DB02 ,7/19/2017,0.52
684,DB02 ,7/20/2017,0.84
685,DB02 ,7/21/2017,2.02
686,DB02 ,7/22/2017,0.46
687,DB02 ,8/1/2017,0.91
688,DB02 ,8/2/2017,1.07
689,DB02 ,8/3/2017,1.12
690,DB02 ,8/4/2017,1.48
691,DB02 ,8/5/2017,1.33
692,DB02 ,8/6/2017,0.98
693,DB02 ,8/7/2017,0.81
694,DB02 ,8/9/2017,2.21
695,DB02 ,8/10/2017,0.89
696,DB02 ,8/11/2017,0.73
697,DB02 ,8/14/2017,0.04
698,DB02 ,8/18/2017,0.02
699,DB02 ,8/24/2017,0.1
700,DB02 ,8/30/2017,0.82
701,DB02 ,8/31/2017,0.18
702,DB02 ,9/1/2017,1.14
703,DB02 ,9/2/2017,1.43
704,DB02 ,9/3/2017,0.86
705,DB02 ,9/4/2017,1.33
706,DB02 ,9/5/2017,2.2
707,DB02 ,9/6/2017,1.1
708,DB02 ,9/7/2017,0.95
709,DB02 ,9/9/2017,1.55
710,DB02 ,9/10/2017,0.75
711,DB02 ,9/11/2017,0.55
712,DB02 ,9/14/2017,0.26
713,DB02 ,9/15/2017,0.69
714,DB02 ,9/16/2017,0.82
715,DB02 ,9/17/2017,1.01
716,DB02 ,9/18/2017,0.56
717,DB02 ,9/20/2017,0.77
718,DB02 ,9/22/2017,1
719,DB02 ,9/23/2017,1.39
720,DB02 ,9/24/2017,1.38
721,DB02 ,9/25/2017,1.5
722,DB02 ,9/26/2017,1.44
723,DB02 ,9/27/2017,1.48
724,DB02 ,9/28/2017,1.25
725,DB02 ,9/29/2017,1.67
726,DB02 ,9/30/2017,0.85
727,DB02 ,10/1/2017,0.37
728,DB02 ,10/2/2017,1.15
729,DB02 ,10/3/2017,0.67
730,DB02 ,10/4/2017,1.25
731,DB02 ,10/5/2017,1.38
732,DB02 ,10/6/2017,1.42
